hand: 23K8Q, type: HighCard, rank: 1, bid: 359, winnings: 359
hand: 5TK7Q, type: HighCard, rank: 40, bid: 417, winnings: 16680
hand: 5TA64, type: HighCard, rank: 41, bid: 593, winnings: 24313
hand: 5QA98, type: HighCard, rank: 42, bid: 887, winnings: 37254
hand: 6283A, type: HighCard, rank: 43, bid: 337, winnings: 14491
hand: 64392, type: HighCard, rank: 44, bid: 649, winnings: 28556
hand: 64Q35, type: HighCard, rank: 45, bid: 98, winnings: 4410
hand: 659T2, type: HighCard, rank: 46, bid: 689, winnings: 31694
hand: 685QA, type: HighCard, rank: 47, bid: 230, winnings: 10810
hand: 69437, type: HighCard, rank: 48, bid: 176, winnings: 8448
hand: 69482, type: HighCard, rank: 49, bid: 130, winnings: 6370
hand: 6T5AQ, type: HighCard, rank: 50, bid: 841, winnings: 42050
hand: 6A845, type: HighCard, rank: 51, bid: 371, winnings: 18921
hand: 725QK, type: HighCard, rank: 52, bid: 140, winnings: 7280
hand: 72A34, type: HighCard, rank: 53, bid: 266, winnings: 14098
hand: 73495, type: HighCard, rank: 54, bid: 855, winnings: 46170
hand: 735A6, type: HighCard, rank: 55, bid: 384, winnings: 21120
hand: 74938, type: HighCard, rank: 56, bid: 660, winnings: 36960
hand: 75492, type: HighCard, rank: 57, bid: 895, winnings: 51015
hand: 765KA, type: HighCard, rank: 58, bid: 953, winnings: 55274
hand: 76K82, type: HighCard, rank: 59, bid: 153, winnings: 9027
hand: 78253, type: HighCard, rank: 60, bid: 787, winnings: 47220
hand: 7893T, type: HighCard, rank: 61, bid: 964, winnings: 58804
hand: 7T48A, type: HighCard, rank: 62, bid: 194, winnings: 12028
hand: 7T9K6, type: HighCard, rank: 63, bid: 523, winnings: 32949
hand: 7QT35, type: HighCard, rank: 64, bid: 58, winnings: 3712
hand: 7QK32, type: HighCard, rank: 65, bid: 512, winnings: 33280
hand: 7QKT2, type: HighCard, rank: 66, bid: 497, winnings: 32802
hand: 7K524, type: HighCard, rank: 67, bid: 171, winnings: 11457
hand: 7AT28, type: HighCard, rank: 68, bid: 234, winnings: 15912
hand: 82Q5T, type: HighCard, rank: 69, bid: 314, winnings: 21666
hand: 82A47, type: HighCard, rank: 70, bid: 612, winnings: 42840
hand: 8K2T3, type: HighCard, rank: 71, bid: 332, winnings: 23572
hand: 8K645, type: HighCard, rank: 72, bid: 959, winnings: 69048
hand: 8K79T, type: HighCard, rank: 73, bid: 917, winnings: 66941
hand: 8A3T9, type: HighCard, rank: 74, bid: 90, winnings: 6660
hand: 94238, type: HighCard, rank: 75, bid: 700, winnings: 52500
hand: 953T4, type: HighCard, rank: 76, bid: 920, winnings: 69920
hand: 95K83, type: HighCard, rank: 77, bid: 433, winnings: 33341
hand: 96QK3, type: HighCard, rank: 78, bid: 391, winnings: 30498
hand: 96A85, type: HighCard, rank: 79, bid: 878, winnings: 69362
hand: 96AQK, type: HighCard, rank: 80, bid: 861, winnings: 68880
hand: 97QK2, type: HighCard, rank: 81, bid: 398, winnings: 32238
hand: 985A3, type: HighCard, rank: 82, bid: 667, winnings: 54694
hand: 9AK62, type: HighCard, rank: 83, bid: 157, winnings: 13031
hand: T2QA9, type: HighCard, rank: 84, bid: 921, winnings: 77364
hand: T2A35, type: HighCard, rank: 85, bid: 823, winnings: 69955
hand: T35Q8, type: HighCard, rank: 86, bid: 752, winnings: 64672
hand: T36K5, type: HighCard, rank: 87, bid: 938, winnings: 81606
hand: T3A29, type: HighCard, rank: 88, bid: 535, winnings: 47080
hand: T4987, type: HighCard, rank: 89, bid: 279, winnings: 24831
hand: T6A48, type: HighCard, rank: 90, bid: 122, winnings: 10980
hand: T8AK7, type: HighCard, rank: 91, bid: 983, winnings: 89453
hand: T98K5, type: HighCard, rank: 92, bid: 397, winnings: 36524
hand: T9KQ3, type: HighCard, rank: 93, bid: 231, winnings: 21483
hand: TQ549, type: HighCard, rank: 94, bid: 900, winnings: 84600
hand: TK456, type: HighCard, rank: 95, bid: 568, winnings: 53960
hand: Q3968, type: HighCard, rank: 96, bid: 901, winnings: 86496
hand: Q45KA, type: HighCard, rank: 97, bid: 754, winnings: 73138
hand: Q4983, type: HighCard, rank: 98, bid: 168, winnings: 16464
hand: Q5K6A, type: HighCard, rank: 99, bid: 352, winnings: 34848
hand: Q6892, type: HighCard, rank: 100, bid: 784, winnings: 78400
hand: Q72T4, type: HighCard, rank: 101, bid: 24, winnings: 2424
hand: Q82T6, type: HighCard, rank: 102, bid: 620, winnings: 63240
hand: Q8537, type: HighCard, rank: 103, bid: 969, winnings: 99807
hand: Q9A23, type: HighCard, rank: 104, bid: 549, winnings: 57096
hand: QT345, type: HighCard, rank: 105, bid: 436, winnings: 45780
hand: QA543, type: HighCard, rank: 106, bid: 942, winnings: 99852
hand: QAT67, type: HighCard, rank: 107, bid: 976, winnings: 104432
hand: K3567, type: HighCard, rank: 108, bid: 218, winnings: 23544
hand: K3826, type: HighCard, rank: 109, bid: 835, winnings: 91015
hand: K439T, type: HighCard, rank: 110, bid: 924, winnings: 101640
hand: K6Q37, type: HighCard, rank: 111, bid: 558, winnings: 61938
hand: K8354, type: HighCard, rank: 112, bid: 285, winnings: 31920
hand: K8Q2A, type: HighCard, rank: 113, bid: 29, winnings: 3277
hand: K97A6, type: HighCard, rank: 114, bid: 298, winnings: 33972
hand: KT427, type: HighCard, rank: 115, bid: 665, winnings: 76475
hand: KT92Q, type: HighCard, rank: 116, bid: 189, winnings: 21924
hand: KTA54, type: HighCard, rank: 117, bid: 759, winnings: 88803
hand: KQ948, type: HighCard, rank: 118, bid: 687, winnings: 81066
hand: KA53Q, type: HighCard, rank: 119, bid: 686, winnings: 81634
hand: A368K, type: HighCard, rank: 120, bid: 988, winnings: 118560
hand: A426T, type: HighCard, rank: 121, bid: 500, winnings: 60500
hand: A7263, type: HighCard, rank: 122, bid: 16, winnings: 1952
hand: A74Q2, type: HighCard, rank: 123, bid: 704, winnings: 86592
hand: A8624, type: HighCard, rank: 124, bid: 35, winnings: 4340
hand: A9347, type: HighCard, rank: 125, bid: 609, winnings: 76125
hand: AQK97, type: HighCard, rank: 126, bid: 468, winnings: 58968
hand: AK427, type: HighCard, rank: 127, bid: 108, winnings: 13716
hand: AK897, type: HighCard, rank: 128, bid: 214, winnings: 27392
hand: J2839, type: OnePair, rank: 129, bid: 326, winnings: 42054
hand: J5T4A, type: OnePair, rank: 130, bid: 455, winnings: 59150
hand: J689T, type: OnePair, rank: 131, bid: 894, winnings: 117114
hand: J6KAQ, type: OnePair, rank: 132, bid: 607, winnings: 80124
hand: J784T, type: OnePair, rank: 133, bid: 348, winnings: 46284
hand: J837Q, type: OnePair, rank: 134, bid: 552, winnings: 73968
hand: J92KT, type: OnePair, rank: 135, bid: 76, winnings: 10260
hand: J9763, type: OnePair, rank: 136, bid: 36, winnings: 4896
hand: JTQK7, type: OnePair, rank: 137, bid: 305, winnings: 41785
hand: JTA82, type: OnePair, rank: 138, bid: 608, winnings: 83904
hand: JQ29K, type: OnePair, rank: 139, bid: 536, winnings: 74504
hand: JQ64K, type: OnePair, rank: 140, bid: 718, winnings: 100520
hand: JQ87K, type: OnePair, rank: 141, bid: 67, winnings: 9447
hand: JATQ9, type: OnePair, rank: 142, bid: 273, winnings: 38766
hand: 22954, type: OnePair, rank: 143, bid: 425, winnings: 60775
hand: 2325A, type: OnePair, rank: 144, bid: 961, winnings: 138384
hand: 24J97, type: OnePair, rank: 145, bid: 724, winnings: 104980
hand: 24J9K, type: OnePair, rank: 146, bid: 181, winnings: 26426
hand: 246Q6, type: OnePair, rank: 147, bid: 930, winnings: 136710
hand: 26769, type: OnePair, rank: 148, bid: 816, winnings: 120768
hand: 2773T, type: OnePair, rank: 149, bid: 420, winnings: 62580
hand: 2774A, type: OnePair, rank: 150, bid: 280, winnings: 42000
hand: 28732, type: OnePair, rank: 151, bid: 209, winnings: 31559
hand: 2886T, type: OnePair, rank: 152, bid: 346, winnings: 52592
hand: 28QJ3, type: OnePair, rank: 153, bid: 954, winnings: 145962
hand: 2T5J9, type: OnePair, rank: 154, bid: 414, winnings: 63756
hand: 2T652, type: OnePair, rank: 155, bid: 275, winnings: 42625
hand: 2QJTA, type: OnePair, rank: 156, bid: 229, winnings: 35724
hand: 2K8J7, type: OnePair, rank: 157, bid: 509, winnings: 79913
hand: 2A7TT, type: OnePair, rank: 158, bid: 991, winnings: 156578
hand: 2A8JK, type: OnePair, rank: 159, bid: 13, winnings: 2067
hand: 2A96A, type: OnePair, rank: 160, bid: 462, winnings: 73920
hand: 3J547, type: OnePair, rank: 161, bid: 223, winnings: 35903
hand: 33TK4, type: OnePair, rank: 162, bid: 599, winnings: 97038
hand: 34J97, type: OnePair, rank: 163, bid: 694, winnings: 113122
hand: 342Q2, type: OnePair, rank: 164, bid: 409, winnings: 67076
hand: 36T93, type: OnePair, rank: 165, bid: 934, winnings: 154110
hand: 37TT6, type: OnePair, rank: 166, bid: 380, winnings: 63080
hand: 38262, type: OnePair, rank: 167, bid: 830, winnings: 138610
hand: 3TT65, type: OnePair, rank: 168, bid: 634, winnings: 106512
hand: 3QK93, type: OnePair, rank: 169, bid: 692, winnings: 116948
hand: 3KA73, type: OnePair, rank: 170, bid: 411, winnings: 69870
hand: 3AA67, type: OnePair, rank: 171, bid: 958, winnings: 163818
hand: 4J2Q7, type: OnePair, rank: 172, bid: 327, winnings: 56244
hand: 4J968, type: OnePair, rank: 173, bid: 542, winnings: 93766
hand: 43A42, type: OnePair, rank: 174, bid: 144, winnings: 25056
hand: 44T86, type: OnePair, rank: 175, bid: 131, winnings: 22925
hand: 45784, type: OnePair, rank: 176, bid: 594, winnings: 104544
hand: 45QJ6, type: OnePair, rank: 177, bid: 576, winnings: 101952
hand: 45QKJ, type: OnePair, rank: 178, bid: 690, winnings: 122820
hand: 47J2K, type: OnePair, rank: 179, bid: 907, winnings: 162353
hand: 493K9, type: OnePair, rank: 180, bid: 233, winnings: 41940
hand: 4T877, type: OnePair, rank: 181, bid: 793, winnings: 143533
hand: 4T98J, type: OnePair, rank: 182, bid: 105, winnings: 19110
hand: 4Q29Q, type: OnePair, rank: 183, bid: 473, winnings: 86559
hand: 4K4Q8, type: OnePair, rank: 184, bid: 721, winnings: 132664
hand: 4A4Q2, type: OnePair, rank: 185, bid: 237, winnings: 43845
hand: 5J9T3, type: OnePair, rank: 186, bid: 84, winnings: 15624
hand: 5JT73, type: OnePair, rank: 187, bid: 434, winnings: 81158
hand: 54Q42, type: OnePair, rank: 188, bid: 62, winnings: 11656
hand: 54QQT, type: OnePair, rank: 189, bid: 770, winnings: 145530
hand: 55943, type: OnePair, rank: 190, bid: 367, winnings: 69730
hand: 55TQ9, type: OnePair, rank: 191, bid: 581, winnings: 110971
hand: 55Q29, type: OnePair, rank: 192, bid: 8, winnings: 1536
hand: 57922, type: OnePair, rank: 193, bid: 582, winnings: 112326
hand: 58A6J, type: OnePair, rank: 194, bid: 452, winnings: 87688
hand: 5Q365, type: OnePair, rank: 195, bid: 343, winnings: 66885
hand: 5K242, type: OnePair, rank: 196, bid: 324, winnings: 63504
hand: 5K9J7, type: OnePair, rank: 197, bid: 124, winnings: 24428
hand: 5A365, type: OnePair, rank: 198, bid: 664, winnings: 131472
hand: 5A435, type: OnePair, rank: 199, bid: 557, winnings: 110843
hand: 62235, type: OnePair, rank: 200, bid: 545, winnings: 109000
hand: 6263K, type: OnePair, rank: 201, bid: 498, winnings: 100098
hand: 6296T, type: OnePair, rank: 202, bid: 611, winnings: 123422
hand: 62T6Q, type: OnePair, rank: 203, bid: 57, winnings: 11571
hand: 64625, type: OnePair, rank: 204, bid: 727, winnings: 148308
hand: 64637, type: OnePair, rank: 205, bid: 856, winnings: 175480
hand: 65J2K, type: OnePair, rank: 206, bid: 565, winnings: 116390
hand: 65JT7, type: OnePair, rank: 207, bid: 630, winnings: 130410
hand: 66243, type: OnePair, rank: 208, bid: 580, winnings: 120640
hand: 67Q64, type: OnePair, rank: 209, bid: 732, winnings: 152988
hand: 68J5K, type: OnePair, rank: 210, bid: 947, winnings: 198870
hand: 684QJ, type: OnePair, rank: 211, bid: 40, winnings: 8440
hand: 69K98, type: OnePair, rank: 212, bid: 413, winnings: 87556
hand: 6TJ58, type: OnePair, rank: 213, bid: 902, winnings: 192126
hand: 6T4T8, type: OnePair, rank: 214, bid: 984, winnings: 210576
hand: 6T4A4, type: OnePair, rank: 215, bid: 156, winnings: 33540
hand: 6TQ68, type: OnePair, rank: 216, bid: 107, winnings: 23112
hand: 6Q82Q, type: OnePair, rank: 217, bid: 303, winnings: 65751
hand: 6K6T5, type: OnePair, rank: 218, bid: 274, winnings: 59732
hand: 6A45J, type: OnePair, rank: 219, bid: 978, winnings: 214182
hand: 6AA5K, type: OnePair, rank: 220, bid: 208, winnings: 45760
hand: 7J648, type: OnePair, rank: 221, bid: 534, winnings: 118014
hand: 7JK35, type: OnePair, rank: 222, bid: 5, winnings: 1110
hand: 72796, type: OnePair, rank: 223, bid: 264, winnings: 58872
hand: 7287A, type: OnePair, rank: 224, bid: 567, winnings: 127008
hand: 74J8A, type: OnePair, rank: 225, bid: 960, winnings: 216000
hand: 75JA6, type: OnePair, rank: 226, bid: 95, winnings: 21470
hand: 764QQ, type: OnePair, rank: 227, bid: 134, winnings: 30418
hand: 7662Q, type: OnePair, rank: 228, bid: 241, winnings: 54948
hand: 77AK8, type: OnePair, rank: 229, bid: 588, winnings: 134652
hand: 7Q554, type: OnePair, rank: 230, bid: 307, winnings: 70610
hand: 7QQ26, type: OnePair, rank: 231, bid: 804, winnings: 185724
hand: 7K6KA, type: OnePair, rank: 232, bid: 466, winnings: 108112
hand: 7KTT9, type: OnePair, rank: 233, bid: 658, winnings: 153314
hand: 7A54J, type: OnePair, rank: 234, bid: 889, winnings: 208026
hand: 8J6K2, type: OnePair, rank: 235, bid: 301, winnings: 70735
hand: 82A5A, type: OnePair, rank: 236, bid: 329, winnings: 77644
hand: 84T5T, type: OnePair, rank: 237, bid: 589, winnings: 139593
hand: 84A8T, type: OnePair, rank: 238, bid: 372, winnings: 88536
hand: 86J32, type: OnePair, rank: 239, bid: 39, winnings: 9321
hand: 8684Q, type: OnePair, rank: 240, bid: 828, winnings: 198720
hand: 86AA3, type: OnePair, rank: 241, bid: 803, winnings: 193523
hand: 87J2Q, type: OnePair, rank: 242, bid: 761, winnings: 184162
hand: 87KA8, type: OnePair, rank: 243, bid: 472, winnings: 114696
hand: 895TJ, type: OnePair, rank: 244, bid: 175, winnings: 42700
hand: 89T66, type: OnePair, rank: 245, bid: 55, winnings: 13475
hand: 8T728, type: OnePair, rank: 246, bid: 319, winnings: 78474
hand: 8T74T, type: OnePair, rank: 247, bid: 928, winnings: 229216
hand: 8Q5J2, type: OnePair, rank: 248, bid: 528, winnings: 130944
hand: 8Q77A, type: OnePair, rank: 249, bid: 364, winnings: 90636
hand: 8K5Q5, type: OnePair, rank: 250, bid: 115, winnings: 28750
hand: 8K6JQ, type: OnePair, rank: 251, bid: 146, winnings: 36646
hand: 8A366, type: OnePair, rank: 252, bid: 529, winnings: 133308
hand: 8A6J9, type: OnePair, rank: 253, bid: 419, winnings: 106007
hand: 8A8Q5, type: OnePair, rank: 254, bid: 46, winnings: 11684
hand: 92273, type: OnePair, rank: 255, bid: 416, winnings: 106080
hand: 92AJ6, type: OnePair, rank: 256, bid: 587, winnings: 150272
hand: 93K53, type: OnePair, rank: 257, bid: 840, winnings: 215880
hand: 944A6, type: OnePair, rank: 258, bid: 659, winnings: 170022
hand: 95663, type: OnePair, rank: 259, bid: 751, winnings: 194509
hand: 95926, type: OnePair, rank: 260, bid: 219, winnings: 56940
hand: 965TT, type: OnePair, rank: 261, bid: 54, winnings: 14094
hand: 96737, type: OnePair, rank: 262, bid: 10, winnings: 2620
hand: 9TJ67, type: OnePair, rank: 263, bid: 522, winnings: 137286
hand: 9Q9K3, type: OnePair, rank: 264, bid: 103, winnings: 27192
hand: 9KK32, type: OnePair, rank: 265, bid: 908, winnings: 240620
hand: 9KK8T, type: OnePair, rank: 266, bid: 810, winnings: 215460
hand: T25J7, type: OnePair, rank: 267, bid: 72, winnings: 19224
hand: T593T, type: OnePair, rank: 268, bid: 151, winnings: 40468
hand: T764T, type: OnePair, rank: 269, bid: 688, winnings: 185072
hand: T7758, type: OnePair, rank: 270, bid: 945, winnings: 255150
hand: T927T, type: OnePair, rank: 271, bid: 773, winnings: 209483
hand: TT3Q8, type: OnePair, rank: 272, bid: 297, winnings: 80784
hand: TKJ27, type: OnePair, rank: 273, bid: 882, winnings: 240786
hand: TK787, type: OnePair, rank: 274, bid: 71, winnings: 19454
hand: TKK9Q, type: OnePair, rank: 275, bid: 877, winnings: 241175
hand: TA696, type: OnePair, rank: 276, bid: 986, winnings: 272136
hand: QJ35T, type: OnePair, rank: 277, bid: 505, winnings: 139885
hand: QJ5A4, type: OnePair, rank: 278, bid: 592, winnings: 164576
hand: QJT45, type: OnePair, rank: 279, bid: 653, winnings: 182187
hand: Q3585, type: OnePair, rank: 280, bid: 317, winnings: 88760
hand: Q388T, type: OnePair, rank: 281, bid: 170, winnings: 47770
hand: Q3QT4, type: OnePair, rank: 282, bid: 602, winnings: 169764
hand: Q3KAJ, type: OnePair, rank: 283, bid: 563, winnings: 159329
hand: Q43JA, type: OnePair, rank: 284, bid: 109, winnings: 30956
hand: Q4TT3, type: OnePair, rank: 285, bid: 476, winnings: 135660
hand: Q67AJ, type: OnePair, rank: 286, bid: 628, winnings: 179608
hand: Q6939, type: OnePair, rank: 287, bid: 831, winnings: 238497
hand: Q7J36, type: OnePair, rank: 288, bid: 850, winnings: 244800
hand: Q83JK, type: OnePair, rank: 289, bid: 96, winnings: 27744
hand: Q8599, type: OnePair, rank: 290, bid: 368, winnings: 106720
hand: Q87KK, type: OnePair, rank: 291, bid: 102, winnings: 29682
hand: QQ432, type: OnePair, rank: 292, bid: 449, winnings: 131108
hand: QQ524, type: OnePair, rank: 293, bid: 427, winnings: 125111
hand: QQ62T, type: OnePair, rank: 294, bid: 524, winnings: 154056
hand: KJQT9, type: OnePair, rank: 295, bid: 44, winnings: 12980
hand: K28QQ, type: OnePair, rank: 296, bid: 286, winnings: 84656
hand: K43J7, type: OnePair, rank: 297, bid: 484, winnings: 143748
hand: K6229, type: OnePair, rank: 298, bid: 162, winnings: 48276
hand: K88A3, type: OnePair, rank: 299, bid: 400, winnings: 119600
hand: K9972, type: OnePair, rank: 300, bid: 22, winnings: 6600
hand: KT228, type: OnePair, rank: 301, bid: 909, winnings: 273609
hand: KQQ2T, type: OnePair, rank: 302, bid: 837, winnings: 252774
hand: KK248, type: OnePair, rank: 303, bid: 696, winnings: 210888
hand: KK3Q4, type: OnePair, rank: 304, bid: 390, winnings: 118560
hand: KK4Q8, type: OnePair, rank: 305, bid: 471, winnings: 143655
hand: KK524, type: OnePair, rank: 306, bid: 765, winnings: 234090
hand: KA9J2, type: OnePair, rank: 307, bid: 999, winnings: 306693
hand: AJK26, type: OnePair, rank: 308, bid: 538, winnings: 165704
hand: A3283, type: OnePair, rank: 309, bid: 284, winnings: 87756
hand: A3T22, type: OnePair, rank: 310, bid: 739, winnings: 229090
hand: A3K8J, type: OnePair, rank: 311, bid: 145, winnings: 45095
hand: A44Q9, type: OnePair, rank: 312, bid: 43, winnings: 13416
hand: A5AQ9, type: OnePair, rank: 313, bid: 871, winnings: 272623
hand: A76QQ, type: OnePair, rank: 314, bid: 159, winnings: 49926
hand: A78A6, type: OnePair, rank: 315, bid: 749, winnings: 235935
hand: A7Q66, type: OnePair, rank: 316, bid: 719, winnings: 227204
hand: A955Q, type: OnePair, rank: 317, bid: 963, winnings: 305271
hand: A97J4, type: OnePair, rank: 318, bid: 287, winnings: 91266
hand: AT9A8, type: OnePair, rank: 319, bid: 45, winnings: 14355
hand: AA392, type: OnePair, rank: 320, bid: 392, winnings: 125440
hand: AA958, type: OnePair, rank: 321, bid: 615, winnings: 197415
hand: 22868, type: TwoPair, rank: 322, bid: 38, winnings: 12236
hand: 23525, type: TwoPair, rank: 323, bid: 404, winnings: 130492
hand: 24452, type: TwoPair, rank: 324, bid: 517, winnings: 167508
hand: 24492, type: TwoPair, rank: 325, bid: 438, winnings: 142350
hand: 26286, type: TwoPair, rank: 326, bid: 702, winnings: 228852
hand: 266T2, type: TwoPair, rank: 327, bid: 355, winnings: 116085
hand: 27276, type: TwoPair, rank: 328, bid: 847, winnings: 277816
hand: 28824, type: TwoPair, rank: 329, bid: 716, winnings: 235564
hand: 29927, type: TwoPair, rank: 330, bid: 516, winnings: 170280
hand: 2T2QQ, type: TwoPair, rank: 331, bid: 681, winnings: 225411
hand: 2Q882, type: TwoPair, rank: 332, bid: 989, winnings: 328348
hand: 2Q992, type: TwoPair, rank: 333, bid: 875, winnings: 291375
hand: 2QQ66, type: TwoPair, rank: 334, bid: 971, winnings: 324314
hand: 2A2A6, type: TwoPair, rank: 335, bid: 614, winnings: 205690
hand: 33244, type: TwoPair, rank: 336, bid: 691, winnings: 232176
hand: 339T9, type: TwoPair, rank: 337, bid: 562, winnings: 189394
hand: 33Q5Q, type: TwoPair, rank: 338, bid: 193, winnings: 65234
hand: 33Q7Q, type: TwoPair, rank: 339, bid: 186, winnings: 63054
hand: 35377, type: TwoPair, rank: 340, bid: 616, winnings: 209440
hand: 363AA, type: TwoPair, rank: 341, bid: 610, winnings: 208010
hand: 36653, type: TwoPair, rank: 342, bid: 891, winnings: 304722
hand: 37736, type: TwoPair, rank: 343, bid: 673, winnings: 230839
hand: 383Q8, type: TwoPair, rank: 344, bid: 139, winnings: 47816
hand: 38853, type: TwoPair, rank: 345, bid: 2, winnings: 690
hand: 3T5T3, type: TwoPair, rank: 346, bid: 120, winnings: 41520
hand: 3K388, type: TwoPair, rank: 347, bid: 213, winnings: 73911
hand: 3K3TK, type: TwoPair, rank: 348, bid: 685, winnings: 238380
hand: 42772, type: TwoPair, rank: 349, bid: 304, winnings: 106096
hand: 4334A, type: TwoPair, rank: 350, bid: 967, winnings: 338450
hand: 44355, type: TwoPair, rank: 351, bid: 272, winnings: 95472
hand: 44393, type: TwoPair, rank: 352, bid: 196, winnings: 68992
hand: 44633, type: TwoPair, rank: 353, bid: 638, winnings: 225214
hand: 44TTA, type: TwoPair, rank: 354, bid: 778, winnings: 275412
hand: 45645, type: TwoPair, rank: 355, bid: 354, winnings: 125670
hand: 46462, type: TwoPair, rank: 356, bid: 874, winnings: 311144
hand: 4646T, type: TwoPair, rank: 357, bid: 515, winnings: 183855
hand: 464Q6, type: TwoPair, rank: 358, bid: 187, winnings: 66946
hand: 466AA, type: TwoPair, rank: 359, bid: 613, winnings: 220067
hand: 474QQ, type: TwoPair, rank: 360, bid: 975, winnings: 351000
hand: 49498, type: TwoPair, rank: 361, bid: 544, winnings: 196384
hand: 4949Q, type: TwoPair, rank: 362, bid: 733, winnings: 265346
hand: 4T74T, type: TwoPair, rank: 363, bid: 962, winnings: 349206
hand: 4TT84, type: TwoPair, rank: 364, bid: 518, winnings: 188552
hand: 4KTK4, type: TwoPair, rank: 365, bid: 677, winnings: 247105
hand: 4A4AQ, type: TwoPair, rank: 366, bid: 91, winnings: 33306
hand: 52QQ5, type: TwoPair, rank: 367, bid: 164, winnings: 60188
hand: 58598, type: TwoPair, rank: 368, bid: 520, winnings: 191360
hand: 5959A, type: TwoPair, rank: 369, bid: 537, winnings: 198153
hand: 59985, type: TwoPair, rank: 370, bid: 747, winnings: 276390
hand: 5T566, type: TwoPair, rank: 371, bid: 506, winnings: 187726
hand: 5Q59Q, type: TwoPair, rank: 372, bid: 762, winnings: 283464
hand: 5A5TA, type: TwoPair, rank: 373, bid: 494, winnings: 184262
hand: 62TT2, type: TwoPair, rank: 374, bid: 499, winnings: 186626
hand: 66Q5Q, type: TwoPair, rank: 375, bid: 41, winnings: 15375
hand: 69693, type: TwoPair, rank: 376, bid: 1000, winnings: 376000
hand: 6TT55, type: TwoPair, rank: 377, bid: 510, winnings: 192270
hand: 6Q2Q2, type: TwoPair, rank: 378, bid: 570, winnings: 215460
hand: 6ATAT, type: TwoPair, rank: 379, bid: 863, winnings: 327077
hand: 7227Q, type: TwoPair, rank: 380, bid: 52, winnings: 19760
hand: 72752, type: TwoPair, rank: 381, bid: 817, winnings: 311277
hand: 727T2, type: TwoPair, rank: 382, bid: 253, winnings: 96646
hand: 74749, type: TwoPair, rank: 383, bid: 699, winnings: 267717
hand: 75665, type: TwoPair, rank: 384, bid: 952, winnings: 365568
hand: 76969, type: TwoPair, rank: 385, bid: 20, winnings: 7700
hand: 77282, type: TwoPair, rank: 386, bid: 981, winnings: 378666
hand: 77866, type: TwoPair, rank: 387, bid: 403, winnings: 155961
hand: 778K8, type: TwoPair, rank: 388, bid: 65, winnings: 25220
hand: 77K3K, type: TwoPair, rank: 389, bid: 309, winnings: 120201
hand: 79793, type: TwoPair, rank: 390, bid: 353, winnings: 137670
hand: 7QQ72, type: TwoPair, rank: 391, bid: 460, winnings: 179860
